CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET;geo_point_2d
188;Downtown;"{""coordinates"": [-123.10039806257288, 49.275635825621286], ""type"": ""Point""}";__FJ0QI2;19060305;024929298;MILROSS AV;49.275635825621286, -123.10039806257288
1200;Downtown;"{""coordinates"": [-123.12914781211241, 49.27867121796622], ""type"": ""Point""}";__FJ0S9I;12061204;015479951;BURRARD ST;49.27867121796622, -123.12914781211241
1200;Downtown;"{""coordinates"": [-123.12922124112248, 49.27862256188166], ""type"": ""Point""}";__FJ0S9K;12061204;015479978;BURRARD ST;49.27862256188166, -123.12922124112248
910;Downtown;"{""coordinates"": [-123.12889662926342, 49.27830494469612], ""type"": ""Point""}";__FJ0SAU;61212076;015480496;DAVIE ST;49.27830494469612, -123.12889662926342
938;Downtown;"{""coordinates"": [-123.12283585751328, 49.28030980831491], ""type"": ""Point""}";__FJ0SBO;12660434;LMS1997;HOWE ST;49.28030980831491, -123.12283585751328
1010;Downtown;"{""coordinates"": [-123.12418600889697, 49.279488895141895], ""type"": ""Point""}";__FJ0SBU;12660602;LMS2586;HOWE ST;49.279488895141895, -123.12418600889697
868;Downtown;"{""coordinates"": [-123.12034296007774, 49.28062999732776], ""type"": ""Point""}";__FJ0SCI;13060256;015463460;GRANVILLE ST;49.28062999732776, -123.12034296007774
868;Downtown;"{""coordinates"": [-123.12041351550049, 49.28058224937076], ""type"": ""Point""}";__FJ0SCK;13060256;015463524;GRANVILLE ST;49.28058224937076, -123.12041351550049
868;Downtown;"{""coordinates"": [-123.1206444052019, 49.2804344875794], ""type"": ""Point""}";__FJ0SCQ;13060256;015463729;GRANVILLE ST;49.2804344875794, -123.1206444052019
884;Downtown;"{""coordinates"": [-123.12086609969028, 49.28028853397717], ""type"": ""Point""}";__FJ0SCS;13060280;015463800;GRANVILLE ST;49.28028853397717, -123.12086609969028
601;Downtown;"{""coordinates"": [-123.1203769170001, 49.280069112457504], ""type"": ""Point""}";__FJ0SD4;13460293;015463877;SMITHE ST;49.280069112457504, -123.1203769170001
601;Downtown;"{""coordinates"": [-123.12030416133288, 49.2801164219235], ""type"": ""Point""}";__FJ0SD6;13460293;015463893;SMITHE ST;49.2801164219235, -123.12030416133288
601;Downtown;"{""coordinates"": [-123.1200810932172, 49.28026327539729], ""type"": ""Point""}";__FJ0SDC;13460293;015464032;SMITHE ST;49.28026327539729, -123.1200810932172
601;Downtown;"{""coordinates"": [-123.12000765495466, 49.28031282518413], ""type"": ""Point""}";__FJ0SDE;13460293;015464067;SMITHE ST;49.28031282518413, -123.12000765495466
833;Downtown;"{""coordinates"": [-123.1197558987612, 49.28049725369777], ""type"": ""Point""}";__FJ0SDG;13460245;BCS3995;SEYMOUR ST;49.28049725369777, -123.1197558987612
757;Downtown;"{""coordinates"": [-123.11729604425807, 49.28083692521398], ""type"": ""Point""}";__FJ0SEK;13860045;008753989;RICHARDS ST;49.28083692521398, -123.11729604425807
712;Downtown;"{""coordinates"": [-123.11628887490694, 49.28077364565771], ""type"": ""Point""}";__FJ0SEQ;13860026;004994141;RICHARDS ST;49.28077364565771, -123.11628887490694
712;Downtown;"{""coordinates"": [-123.11636507380132, 49.28072679401332], ""type"": ""Point""}";__FJ0SES;13860032;010909117;RICHARDS ST;49.28072679401332, -123.11636507380132
732;Downtown;"{""coordinates"": [-123.11651402323098, 49.280628596459756], ""type"": ""Point""}";__FJ0SFK;13860040;004992954;RICHARDS ST;49.280628596459756, -123.11651402323098
